c | SPRAY | PROSE :: - **Chert** — K: Chert Spray. Remaining 81: D; three named: "Chert Gout" — D (rigid mineral fragment cannot gout like a liquid); "Chert Mist" — D (too coarse); "Chert Breath" — D (weak fit versus the sharper Flint Breath
c | SPRAY | PROSE :: - **Granite** — K: Granite Breath. Remaining 81: D; three named: "Granite Spray" — X (functionally identical concept already covered by the broader Bedrock/Scree spray family, and "Granite" itself reads better fronting B
c | SPRAY | PROSE :: - **Quarry** — K: Quarry Vent, Quarry Disgorge. Remaining 80: D or C; three named: "Quarry Gout" — D (a quarry is a location/activity noun, not itself a sprayable substance — the honest reading requires the fragment noun
c | SPRAY | PROSE :: - **Bare restraint/holding verbs out of SPRAY's scope** (entrench, brace, anchor, ground, root, plant, embed, wedge, lodge, jam, withstand, endure, weather, outlast, immobilize, pin, trap, entomb, bury, settle, subside) 
c | SPRAY | PROSE :: - **Landform/location nouns with no honest expulsion reading** (outcrop, crag, cliff, bluff, escarpment, promontory, spur, ridge, ridgeline, monolith, megalith, menhir, plateau, tableland, mesa, butte, pinnacle, spire, t
c | SPRAY | PROSE :: - **Fault-family location nouns absorbed by BURST/CLOUD/SNARE, minimal independent SPRAY reading** (chasm, crevasse, sinkhole, fissure [noun, beyond "Fissured Vent" already kept]) — all columns except where already noted
c | SPRAY | PROSE :: - **Deep-layer geological nouns with no honest expulsion reading** (foundation, substrate, crust, core, formation, deposit, sediment, seam, vein, stratum, mantle [rock sense]) — all columns: D; three named: "Foundation S
c | SPRAY | PROSE :: - **Standalone earthquake-event nouns already honestly placed in BURST, not independently re-keepable in SPRAY** (tremor, quake, earthquake, aftershock, upheaval, subduction, orogeny) — all columns: X or D; three named: 
c | BURST | PROSE :: - **Subduction** — K: standalone (Step A), Subduction Eruption, Subduction Upheaval. Remaining 63: D or X; three named: "Subduction Blast" — X (already honestly captured by the standalone noun and the Eruption/Upheaval c
c | BURST | PROSE :: - **Cave-in** — standalone (Step A), plus Cave-In Burst. Remaining columns: D or X; three named: "Cave-In Blast" — X (redundant intersection with the already-kept forms); "Cave-In Flare" — D (a collapse event does not fl
c | BURST | PROSE :: - **Earthquake, Aftershock, Orogeny** — standalone (Step A) each; remaining columns for each: D or X, since these are already-complete event-nouns that do not need further compounding to read as ability names, and forcin
c | BURST | PROSE :: - **Deep-layer/deposit geological nouns without independent BURST reading beyond Bedrock/Fault/Tectonic/Seismic already kept** (foundation, substrate, crust, core, formation, deposit, sediment, seam, vein, stratum, mantl
c | CLOUD | PROSE :: - **Talus** — K: Talus Haze. Remaining 93: D; three named: "Talus Pall" — D (too small/localized in scale for a pall's broad-heavy-covering sense compared to Rubble/Scree already covering that register — thin, weak fit r
c | CLOUD | PROSE :: - **Chip/Grit-family** — see Flags/Dual-element candidates; "Chip Cloud" was considered and rejected: "Chip Cloud" — D (chip refers to small discrete hard fragments, closer to SPRAY's expulsion register than a lingering 
c | CLOUD | PROSE :: - **Landform/location nouns with no honest lingering-field reading beyond their crossed forms already kept (Quarry/Fault/Rockslide/etc.)** (outcrop, crag, cliff, bluff, escarpment, promontory, spur, ridge, ridgeline, mon
c | CLOUD | PROSE :: - **Deep-layer/deposit/mineral nouns without independent honest CLOUD reading beyond Fault/Bedrock/Quarry already kept** (foundation, substrate, crust, core, formation, deposit, sediment, seam, vein, stratum, quartz, fel
c | SNARE | PROSE :: - **Massif** — K: Massif Grip (already flagged in harvest-rock.md §4). Remaining 97: D; three named: "Massif Snare" — X (functionally the same concept already better captured by "Bedrock Snare"; Massif's honest productiv
c | SNARE | PROSE :: - **Cliff** — K: Cliffside Grip, Cliffside Deadfall (2 K, "-side" compound per the established Step-0-consistent handling). Remaining 96: D; three named: "Cliff Snare" — D (a bare cliff is a static landform, not itself a
c | SNARE | PROSE :: - **Fissure** — K: Fissure Snare. Remaining 97: D; three named: "Fissure Grip" — X (functionally identical to the already-kept "Bedrock Grip"/"Fault Grip" register — a fissure's own honest SNARE reading is the swallowing
c | SNARE | PROSE :: - **Landform/location nouns with no honest snare-mechanism reading beyond their crossed forms already kept (Chasm/Crevasse/Sinkhole/Fissure/Cave-In already covered above)** (outcrop, crag, cliff [bare, beyond Cliffside],
c | SNARE | PROSE :: - **Standalone earthquake-event nouns without independent SNARE reading (their honest register is BURST, already covered there)** (tremor, quake, earthquake, upheaval, subduction, orogeny, aftershock) — all ~98: D; three
d | 9.5.1 | PROSE :: Per-name proof: **Plated Vise** — D, "plated" describes a defensive surface covering (armor layered on a body), the WARD register, not crushing force — no honest reading connects a covering to a crushing mechanism. **Ent
d | 9.5.2 | PROSE :: **Plated Shield / Plated Casing / Plated Armor** — K, plating is definitionally protective armor. **Encrusted Shell / Encrusted Casing** — K, an encrusted (mineral-crusted) shell/casing is an honest hardened-covering ima
d | 9.5.2 | PROSE :: **Pedestal Ward** — D, a pedestal is a supporting base for something displayed atop it, not itself a barrier. **Plateau/Tableland/Mesa/Butte Ward** — all D, these are flat elevated-landform nouns without an enclosing or 
d | 9.5.2 | PROSE :: All D for rows 177-183 (Alabaster/Travertine/Geode/Crystal/Gemstone/Mineral) — these are all decorative, hollow, or too-abstract-generic mineral nouns without an honest bulk-barrier reading (Alabaster is soft/carvable, T
d | 9.5.2 | PROSE :: **Quarry Wall** — D, a quarry is an excavation site (a hole), the opposite of a protective mass. **Tremor/Quake/Earthquake/Aftershock/Upheaval/Subduction/Orogeny Ward** — all D, these are all seismic-event nouns (destruc
d | 9.5.2 | PROSE :: All D. **Root(v)/Plant(v)/Embed/Wedge/Lodge/Jam Ward** — all D, these are all attachment/fixation verbs (SNARE-adjacent per the standing ruling's logic that stability/attachment concepts route away from other cells), not
d | 9.5.2 | PROSE :: All D except: **Encase Casing** — checked individually, coded X (near-total identity with the column word, a true tautology rather than a welcomed near-duplicate, since "encase" and "casing" are the same root word repeat
d | 9.5.3 | PROSE :: All D except **Granite Restore/Reinforce** (already counted above in the 97-160 block's granite entries — not double-counted). No new kept crosses in this range: Marble/Limestone/Sandstone/Slate/Shale/Gneiss/Schist/Dolom
d | 9.5.4 | PROSE :: All D except: **Petrified Glare / Petrified Stare** — K (already in cell, canon-safe fear-freeze sense). **Fractured Dread** — K (already in cell). **Cracked Foreboding** — K (already in cell; "Foreboding" reads as Omen-
d | 9.5.4 | PROSE :: All D except: **Unshakable Presence** — K (already in cell). **Impenetrable Menace** already covered (row 28, not this chunk). **Cliff Dread** — K (already in cell). **Cliffside Dread** is a compound not a row (Cliffside
d | 9.5.4 | PROSE :: All D except: **Bedrock Dread** — K (already in cell). **Foundational Dread** already covered (row 49, adjective form; the noun "Foundation" here checked separately): **Foundation Dread** — checked individually and cut: 
d | 9.5.4 | PROSE :: **Stalactite Menace** already covered above (rows 161-229 block). **Entombing Dread, Burying Dread, Immobilizing Menace** — all K (already in cell): "entomb"/"bury"/"immobilize" as gerunds honestly evoke being trapped-an
