- | CRUSH | Vacuum Crush :: D — redundant with Vacuum Collapse, "Vacuum Crush" adds no distinct image once I
- | CRUSH | Vacuum Compress :: D — redundant with Vacuum Squeeze/Constrict, near-tautology against Vacuum's own
- | CRUSH | Vacuum Compact :: D — redundant, same reasoning as Compress
- | CRUSH | Vacuum Clasp :: D — redundant with Vacuum Grip/Clutch, a third near-identical holding-verb compo
- | CRUSH | Vacuum Crumple :: D — crumple implies a rigid object buckling under external force; closer to Vacu
- | CRUSH | Vacuum Press :: D — redundant, "Vacuum Press" duplicates the Squeeze/Constrict register already 
- | CRUSH | Vacuum Vise :: D — redundant with the harvest-native Air Vise (a different air noun already own
- | CRUSH | Pressure Squeeze :: D — redundant with Pressure Compress/Constrict
- | CRUSH | Pressure Constrict :: D — redundant, same register already covered
- | CRUSH | Pressure Clench :: D — redundant with Pressure Clamp/Grip
- | CRUSH | Pressure Clasp :: D — redundant with Pressure Grip
- | CRUSH | Pressure Clutch :: D — redundant
- | CRUSH | Pressure Smother :: D — smother implies covering; pressure's register is compressing, a related but 
- | CRUSH | Pressure Flatten :: D — flatten implies a single blow; pressure's register is sustained squeeze, red
- | CRUSH | Pressure Crumple :: D — redundant with Pressure Buckle-adjacent register, no distinct compound surfa
- | CRUSH | Pressure Press :: D — redundant with Pressure Crush, near-tautology (see rejections)
- | CRUSH | Pressure Implode :: D — implode reads better with the more literal Vacuum, redundant
- | CRUSH | Pressure Collapse :: D — redundant, Pressure's own collapse-adjacent register already covered by Void
- | CRUSH | Pressure Weight :: D — weight better belongs to Gale/Downdraft/Atmosphere/Sky, redundant if compose
- | CRUSH | Gale Compress :: D — redundant with Gale Weight/Press
- | CRUSH | Gale Compact :: D — redundant
- | CRUSH | Gale Squeeze :: D — redundant with Gale Grip
- | CRUSH | Gale Clench :: D — redundant with Gale Grip
- | CRUSH | Gale Clasp :: D — redundant
- | CRUSH | Gale Clutch :: D — redundant
- | CRUSH | Gale Mash :: D — no swinging mass, redundant with the kept Gale Buckle's structural-failure r
- | CRUSH | Gale Flatten :: D — flatten implies a downward crushing blow; a gale's honest force-image is pus
- | CRUSH | Gale Ram :: D — Downdraft Ram already owns the ramming register for a more vertically-forcef
- | CRUSH | Gale Collapse :: D — collapse better fits Void/Chasm's open-sky register, redundant if composed f
- | CRUSH | Squall Crush :: D — redundant with Squall Press, near-tautology
- | CRUSH | Squall Compress :: D — redundant with Squall Press
- | CRUSH | Squall Compact :: D — redundant
- | CRUSH | Squall Clench :: D — redundant with Squall Grip
- | CRUSH | Squall Clasp :: D — redundant
- | CRUSH | Squall Clutch :: D — redundant
- | CRUSH | Squall Collapse :: D — collapse better fits Void/Chasm, redundant
- | CRUSH | Downdraft Compress :: D — redundant with Downdraft Press/Weight
- | CRUSH | Downdraft Compact :: D — redundant
- | CRUSH | Downdraft Clasp :: D — redundant
- | CRUSH | Downdraft Clutch :: D — redundant
- | CRUSH | Downdraft Crumple :: D — crumple better fits a structure failing under Downdraft Weight, redundant
- | CRUSH | Vortex Crush :: D — redundant with Vortex Vise/Grip, "Vortex Crush" adds nothing distinct
- | CRUSH | Vortex Compress :: D — redundant with Vortex Coil's inward-spiral register
- | CRUSH | Vortex Compact :: D — redundant
- | CRUSH | Vortex Squeeze :: D — redundant with Vortex Constrict
- | CRUSH | Vortex Clasp :: D — redundant with Vortex Grip
- | CRUSH | Vortex Clutch :: D — redundant
- | CRUSH | Vortex Strangle :: D — strangle implies a throat-cord; Vortex Coil already honestly covers the serp
- | CRUSH | Vortex Throttle :: D — same, redundant with Vortex Coil
- | CRUSH | Vortex Crumple :: D — crumple better fits a static-structure failure under Vortex Vise's grip, red
- | CRUSH | Vortex Press :: D — redundant, no distinct Press compound surfaced
- | CRUSH | Cyclone Crush :: D — redundant with Cyclone Grip/Vise
- | CRUSH | Cyclone Compress :: D — redundant
- | CRUSH | Cyclone Compact :: D — redundant
- | CRUSH | Cyclone Squeeze :: D — redundant with Cyclone Grip
- | CRUSH | Cyclone Constrict :: D — redundant with Vortex Coil's ownership of the coiling register; Cyclone Coil
- | CRUSH | Cyclone Clasp :: D — redundant
- | CRUSH | Cyclone Clutch :: D — redundant
- | CRUSH | Cyclone Crumple :: D — redundant with Vortex's ownership of the structural-failure-under-grip regis
- | CRUSH | Cyclone Press :: D — redundant
- | CRUSH | Cyclone Buckle :: D — redundant with Gale/Squall's buckle-ownership
- | CRUSH | Cyclone Collapse :: D — redundant with Vortex's non-collapsing reasoning
- | CRUSH | Cyclone Coil :: D — redundant with Vortex Coil
- | CRUSH | Atmosphere Crush :: D — redundant with Atmosphere Press/Weight
- | CRUSH | Atmosphere Compress :: D — redundant
- | CRUSH | Atmosphere Compact :: D — redundant
- | CRUSH | Atmosphere Grip :: D — atmosphere doesn't grip, it presses via its own weight; redundant with Atmos
- | CRUSH | Atmosphere Clasp :: D — redundant
- | CRUSH | Atmosphere Clutch :: D — redundant
- | CRUSH | Atmosphere Smother :: D — smother is close to Atmosphere Press's register but implies covering from ou
- | CRUSH | Atmosphere Crumple :: D — crumple better fits a smaller-scale structure, redundant
- | CRUSH | Sky Crush :: D — sky alone is too vast/abstract a subject for "crush," redundant with Sky Wei
- | CRUSH | Sky Compress :: D — redundant
- | CRUSH | Sky Compact :: D — redundant
- | CRUSH | Sky Clasp :: D — redundant
- | CRUSH | Sky Clutch :: D — redundant
- | CRUSH | Sky Press :: D — redundant with Atmosphere Press, near-duplicate of the same register for a m
- | CRUSH | Void Crush :: D — redundant with Void Collapse
- | CRUSH | Void Compress :: D — redundant
- | CRUSH | Void Compact :: D — redundant
- | CRUSH | Void Grip :: D — void doesn't grip, it's an absence a structure falls into; redundant with Vo
- | CRUSH | Void Clasp :: D — redundant
- | CRUSH | Void Clutch :: D — redundant
- | CRUSH | Void Crumple :: D — crumple is close but Collapse is the more honest and already-kept compound f
- | CRUSH | Void Implode :: D — implode is honestly Vacuum's register; Void Implode considered but redundant
- | CRUSH | Chasm Crush :: D — redundant with Chasm Collapse
- | CRUSH | Chasm Compress :: D — redundant
- | CRUSH | Chasm Compact :: D — redundant
- | CRUSH | Chasm Grip :: D — a chasm doesn't grip, it's a gap something falls into; redundant with Chasm 
- | CRUSH | Chasm Clasp :: D — redundant
- | CRUSH | Chasm Clutch :: D — redundant
- | CRUSH | Whirlwind Crush :: D — redundant with Whirlwind Grip
- | CRUSH | Whirlwind Compress :: D — redundant
- | CRUSH | Whirlwind Compact :: D — redundant
- | CRUSH | Whirlwind Squeeze :: D — redundant with Whirlwind Grip
- | CRUSH | Whirlwind Constrict :: D — redundant with Vortex Coil's ownership of the coiling register
- | CRUSH | Whirlwind Clasp :: D — redundant
- | CRUSH | Whirlwind Clutch :: D — redundant
- | CRUSH | Whirlwind Crumple :: D — redundant with Vortex's ownership
- | CRUSH | Whirlwind Press :: D — redundant
