a | STRIKE | PROSE :: Columns (STRIKE synonym pool, merged verb/noun near-duplicates): Blow, Strike, Impact, Smash, Slam, Crack, Whack, Thump, Thud, Bash, Clout, Wallop, Clobber, Belt, Sock, Punch, Jab, Cuff, Slap, Chop, Knock, Rap, Crash, Co
a | STRIKE | PROSE :: **Thorn** — K: Strike, Crack, Jab, Gore, Headbutt, Jolt, Jar, Snap, Backhand, Forehand, Downstrike. D: Blow (too small/light for the generic weight "blow" implies), Impact (too clinical for one fine point), Smash (a poin
a | STRIKE | PROSE :: **Bramble** — K: Strike, Smash, Slam, Crack, Bash, Wallop, Clobber, Crash, Collision, Ram, Charge, Barge, Trample, Hammer Blow, Sledge Blow, Crunch, Backhand, Forehand. D: Blow (too diffuse alone for the plain generic te
a | STRIKE | PROSE :: - Vine Whiplash — X, this is the neutral pool's own compound (whiplash is a synonym-pool word, not a fresh element+action composition); the honest plant-owned equivalent is already Vine Lash. Rejected X (redundant with t
a | LASH | PROSE :: **Runner** — K: Lash, Scythe, Reap. D (remaining 22): a runner (spreading stem) is honest as a whip-length lashing instrument (already covered) but the rest fail for scale/rigidity reasons parallel to Tendril's row; thre
a | LASH | PROSE :: **Bramblewood** — K: Lash, Thrash, Wallop, Windmill. D (remaining 21): a dense whip-mass of thorned wood is honest for heavy swinging sweeps but too dense/heavy for quick motions (Flick, Snap, Crack all D — too much mass
c | SPRAY | Pollen Discharge :: X — Sap Discharge covers the discharge register for a plant-fluid substance; a dry-particulate "Poll
c | SPRAY | Pollen Shower :: X — Seed Shower already covers the shower register; Pollen Shower redundant, no distinguishing featu
c | SPRAY | Pollen Mist :: X — Spore Mist already covers the mist-pattern reading for a fine particulate; Pollen Mist redundant
c | SPRAY | Pollen Vapor :: X — vapor implies a gaseous/fine-suspended form already covered by Pollen Mist/Spore Mist's fine-par
c | SPRAY | Spore Discharge :: X — Sap Discharge covers the discharge register for fluid substances; Spore Discharge is a weaker/re
c | SPRAY | Spore Shower :: X — Seed Shower covers the shower register; redundant
c | SPRAY | Spore Vapor :: X — redundant against Spore Mist's already-kept fine-particulate reading
c | SPRAY | Seed Discharge :: X — Sap Discharge covers the discharge register for fluids; Seed Discharge redundant/weaker
c | SPRAY | Seed Barrage :: X — Pollen Barrage/Spore Barrage cover the sustained-outpouring register; Seed Barrage redundant, se
c | SPRAY | Seed Effusion :: X — Pollen Effusion/Spore Effusion cover the gradual-pour register; Seed Effusion redundant, weaker 
c | SPRAY | Sap Spray :: X — Sap Spray reads as a weaker/redundant restatement of the already-kept Sap Discharge/Sap Effusion
c | SPRAY | Sap Vent :: X — Sap Weep [secretion] already covers the organic release-point register more honestly than a mech
c | SPRAY | Resin Vent :: X — same reasoning as Sap Vent, redundant against Resin Weep [secretion]
c | SPRAY | Bloom Jet :: X — Pollen Jet already covers the honest jet-pattern reading for a bloom's release; Bloom Jet redund
c | SPRAY | Bloom Discharge :: X — Pollen Discharge/Sap Discharge cover this register; Bloom Discharge redundant, vaguer restatemen
c | SPRAY | Bloom Volley :: X — Pollen Volley/Spore Volley cover this; Bloom Volley redundant, vaguer
c | SPRAY | Bloom Barrage :: X — Pollen Barrage/Spore Barrage cover this; redundant
c | SPRAY | Bloom Plume :: X — Pollen Plume/Spore Plume cover this; Bloom Plume redundant, vaguer
c | SPRAY | Bloom Effusion :: X — Pollen Effusion/Spore Effusion cover this; redundant
c | SPRAY | Bloom Breath :: X — Pollen Breath/Spore Breath cover this; Bloom Breath redundant, vaguer (the substance name is the
c | SPRAY | Bloom Rain :: X — Pollen Rain/Spore Rain cover this; redundant
c | SPRAY | Bloom Shower :: X — Seed Shower covers this; redundant
c | SPRAY | Bloom Fan :: X — Pollen Fan/Spore Fan cover this; redundant
c | SPRAY | Bloom Cone :: X — Pollen Cone/Spore Cone cover this; redundant
c | SPRAY | Bloom Arc :: X — Pollen Arc/Spore Arc cover this; redundant
c | SPRAY | Bloom Mist :: X — Spore Mist covers this; redundant
c | SPRAY | Bloom Vent :: X — Pollen Vent/Spore Vent cover this; redundant
c | SPRAY | Bur/Burr Discharge :: D — discharge is vague enough to be legal but redundant against the already-established Pollen/Sap D
c | SPRAY | Bur/Burr Barrage :: X — Bur Volley already covers the multi-object-scatter register; Bur Barrage redundant, no distingui
c | BURST | Bloom Outburst :: X — near-dup of Bloomburst/Bloom Blast; redundant
c | BURST | Bloom Overflow :: X — cut above as X against Bloom Discharge; redundant restatement
c | BURST | Pod/Seedpod Outburst :: X — near-dup of Seedpod/Pod Blast; redundant
c | BURST | Pod/Seedpod Vent :: X — Pod Vent, redundant against Pollen Vent/Spore Vent's already-established organic-vent register
c | BURST | Root Outburst :: X — near-dup of Root Burst; redundant
c | BURST | Root Pulse :: X — cut above as X against Bloom Pulse; redundant
c | BURST | Root Vent :: X — cut above, redundant against Pollen/Spore Vent
c | BURST | Bramble Outburst :: X — near-dup of Bramble Burst; redundant
c | BURST | Thorn Blast :: X — near-dup of Thornburst; redundant
c | BURST | Thorn Eruption :: X — cut above as X against Thornburst; redundant
c | BURST | Thorn Outburst :: X — near-dup; redundant
c | BURST | Thorn Rupture :: X — cut above as X against Thornburst; redundant
c | BURST | Sap Outburst :: X — near-dup of Sap Blowout; redundant
c | BURST | Sap Vent :: X — Sap Weep [secretion] already covers this organic release-point register (spray-cell); redundant 
c | BURST | Husk Blowout :: D — a husk splitting is closer to a rupture than a blowout's pressure-release-at-a-weak-seam mechani
c | BURST | Husk Outburst :: X — near-dup of Husk Rupture; redundant
c | BURST | Seed Burst :: X — near-dup of Seedpod/Pod Burst; redundant, the pod is the bursting structure, the seed is the rel
c | BURST | Seed Blast :: X — near-dup of Pod Blast; redundant
